"商品ID","カテゴリー（大）","カテゴリー（小）","型番","商品名","商品画像URL","フィーチャーフォン向けショップ用商品画像作成","その他画像１URL","その他画像２URL","その他画像３URL","その他画像４URL","その他画像５URL","その他画像６URL","その他画像７URL","その他画像８URL","その他画像９URL","販売価格","会員価格","定価","原価","在庫数","在庫管理","最小購入数量","最大購入数量","販売開始日付","販売開始時間","販売終了日付","販売終了時間","単位","重量","売切れ時の表示設定","適正在庫数","表示順","簡易説明","商品説明","フィーチャーフォン向けショップ用商品説明","スマートフォンショップ用商品説明","トラックバック受付設定","Newマーク付加設定","Newマーク画像選択","広告用カテゴリーID","広告用タグ１","広告用タグ２","広告用タグ３","広告用商品説明","ブランド","JAN/ISBN(GTIN)","製品番号(MPN)","状態","性別","色","サイズ","タイトル","キーワード","ページ概要","個別送料","掲載設定","軽減税率設定"
"135794961","水着","","bk0001t","【送料無料】 レディース水着 人気のクロスビキニ 上下別柄2点セット","https://img21.shop-pro.jp/PA01421/305/product/135794961.jpg","作成する","https://img21.shop-pro.jp/PA01421/305/product/135794961_o1.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o2.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o3.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o4.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o5.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o6.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o7.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o8.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794961_o9.jpg","6480","6480","","","60","在庫管理しない","","","","","","","","","表示しない","","","","商品内容<br>セット内容はビキニ（ブラ＋ショーツ）の2点です。<br><br>人気のクロスビキニできれいなボディラインを作ります<br>花柄のボトムスがかわいいヒップを演出してくれますよ<br><br><br>【納期について】<br>2 週間～4週間程度<br><br>・ご注文をいただいてから海外メーカーから取り寄せるため、お届けまで少々お時間がかかります。<br>・ご注文いただいた後にメーカーに注文をするため、まれにメーカーの在庫が切れている場合がございます。<br>　その際は別の商品を特別価格にてご提案させていただきますのでご了承ください。<br>　商品が見つからない場合はキャンセルも承ります。<br>・中国の長期休暇に当たる場合がございます。【春節（2月初旬から中旬、約1週間）、国慶節（10月初旬、約1週間)】<br>　その際は通常よりも納期がかかる場合がございますので長期休暇前のご注文はお気を付けください。<br><br><br>【カラー　ビキニ部】<br>●ホワイト<br>●レッド<br>●ブラック<br>●グリーン<br><br>【サイズ】<br>●Mサイズ（バスト約83～85cm/ヒップ約87～95cm）<br>●Lサイズ（バスト約85～88cm/ヒップ約92～100cm）<br>●XLサイズ（バスト約88cm～92cm/ヒップ約97cm～105cm）<br><br>※サイズは平均サイズですので体型などにより、上記表記サイズより異なりますがご了承下さい。<br>※生地の撮影によって画像と異なる場合がございます<br><br>商品、返品について<br>●サイズ交換やお色交換などの返品は行っておりませんので、サイズは十分にご確認の上、お間違いのないようにご購入ください<br><br>●海外商品のため、日本製のものよりも縫製が荒い場合がございます<br>海外基準では返品対象となりませんのでご理解ください<br><br>●商品のお色はお手持ちのパソコンやスマホ、照明の関係で実物と多少の違いが生じることがございます。色味が違うということでの返品は行っておりませんのでご了承ください<br><br>●素材<br>表地：ナイロン82％　ポリウレタン18％<br>裏地：キュプラ95％　スパンデックス5％<br><br>カラー<br>●レッド<br>●ホワイト<br><br>","","","","表示しない","","","","","","","","","","新品","女","","","","","","","掲載する","軽減税率設定しない"
"135794964","水着","","bk0002t","【送料無料】 レディース水着 フリルレースと花柄ビキニ＆ショートパンツ3点セット","https://img21.shop-pro.jp/PA01421/305/product/135794964.jpg","作成する","https://img21.shop-pro.jp/PA01421/305/product/135794964_o1.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o2.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o3.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o4.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o5.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o6.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o7.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o8.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794964_o9.jpg","4280","4280","","","30","在庫管理しない","","","","","","","","","表示しない","","","","商品内容<br>フリルブラ、花柄ビキニ、ショートパンツの3点セット<br><br>フリルのレースブラがとってもかわいい！ボリュームあるバストに！<br>ビーチでは花柄のショートパンツが活躍しそうです♪<br><br>【納期について】<br>2 週間～4週間程度<br><br>・ご注文をいただいてから海外メーカーから取り寄せるため、お届けまで少々お時間がかかります。<br>・ご注文いただいた後にメーカーに注文をするため、まれにメーカーの在庫が切れている場合がございます。<br>　その際は別の商品を特別価格にてご提案させていただきますのでご了承ください。<br>　商品が見つからない場合はキャンセルも承ります。<br>・中国の長期休暇に当たる場合がございます。【春節（2月初旬から中旬、約1週間）、国慶節（10月初旬、約1週間)】<br>　その際は通常よりも納期がかかる場合がございますので長期休暇前のご注文はお気を付けください。<br><br>【サイズ】<br>●Mサイズ（身長152-160cm、ウエスト79-85cm、バスト70A 70B 75A、体重42.5-50KG<br>●Lサイズ：身長160-165cm、ウエスト83-89cm、バスト70C 75A 80A、体重50-57.5KG<br>●XLサイズ：身長165-175cm、ウエスト87-93cm、バスト75C 80A 85A、体重57.5-62.5KG<br><br>※サイズは平均サイズですので体型などにより、上記表記サイズより異なりますがご了承下さい。<br>※生地の撮影によって画像と異なる場合がございます<br><br>商品、返品について<br>●サイズ交換やお色交換などの返品は行っておりませんので、サイズは十分にご確認の上、お間違いのないようにご購入ください<br><br>●海外商品のため、日本製のものよりも縫製が荒い場合がございます<br>海外基準では返品対象となりませんのでご理解ください<br><br>●商品のお色はお手持ちのパソコンやスマホ、照明の関係で実物と多少の違いが生じることがございます。色味が違うということでの返品は行っておりませんのでご了承ください<br><br>●素材<br>表地：ナイロン82％　ポリウレタン18％<br>裏地：キュプラ82％　ポリウレタン18％<br>","","","","表示しない","","","","","","","","","","新品","女","","","","","","","掲載する","軽減税率設定しない"
"135794966","水着","","bk0003t","【送料無料】 70年代風でオシャレ 小花柄のフレアトップビキニ2点セット","https://img21.shop-pro.jp/PA01421/305/product/135794966.jpg","作成する","https://img21.shop-pro.jp/PA01421/305/product/135794966_o1.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o2.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o3.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o4.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o5.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o6.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o7.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o8.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794966_o9.jpg","4280","4280","","","30","在庫管理しない","","","","","","","","","表示しない","","","","商品内容<br>小花のフレアが甘い女性を演出♪<br>フレアブラはバストにフィットするカップ入り。<br>オフショルダーが二の腕カバーにも。<br>ビキニは深めで体型カバーしてくれます<br><br><br>【納期について】<br>2 週間～4週間程度<br><br>・ご注文をいただいてから海外メーカーから取り寄せるため、お届けまで少々お時間がかかります。<br>・ご注文いただいた後にメーカーに注文をするため、まれにメーカーの在庫が切れている場合がございます。<br>　その際は別の商品を特別価格にてご提案させていただきますのでご了承ください。<br>　商品が見つからない場合はキャンセルも承ります。<br>・中国の長期休暇に当たる場合がございます。【春節（2月初旬から中旬、約1週間）、国慶節（10月初旬、約1週間)】<br>　その際は通常よりも納期がかかる場合がございますので長期休暇前のご注文はお気を付けください。<br><br><br>【サイズ】<br><br>●Mサイズ（アンダーバスト70-75cm/バストカップABC/股上29-30cm）<br>●Lサイズ（アンダーバスト75-80cm/バストカップBCD/股上30-31cm）<br>●XLサイズ（アンダーバスト80－85cm/バストカップCDE/股上31-32cm）<br><br>※サイズは平均サイズですので体型などにより、上記表記サイズより異なりますがご了承下さい。<br>※生地の撮影によって画像と異なる場合がございます<br><br>商品、返品について<br>●サイズ交換やお色交換などの返品は行っておりませんので、サイズは十分にご確認の上、お間違いのないようにご購入ください<br><br>●海外商品のため、日本製のものよりも縫製が荒い場合がございます<br>海外基準では返品対象となりませんのでご理解ください<br><br>●商品のお色はお手持ちのパソコンやスマホ、照明の関係で実物と多少の違いが生じることがございます。色味が違うということでの返品は行っておりませんのでご了承ください<br><br>●素材<br>ナイロン、ポリウレタン<br><br>","","","","表示しない","","","","","","","","","","新品","女","","","","","","","掲載する","軽減税率設定しない"
"135794968","水着","","bk0004t","【送料無料】 レディース水着 ビスチェトップス＆ギンガムチェックビキニ2点セット","https://img21.shop-pro.jp/PA01421/305/product/135794968.jpg","作成する","https://img21.shop-pro.jp/PA01421/305/product/135794968_o1.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o2.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o3.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o4.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o5.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o6.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o7.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o8.jpg","https://img21.shop-pro.jp/PA01421/305/product/135794968_o9.jpg","5480","5480","","","30","在庫管理しない","","","","","","","","","表示しない","","","","商品内容<br>セット内容はビキニ（トップス＋ボトムス）の2点です。<br><br>露出が多すぎず、オシャレでかわいいデザインです。<br>お洋服のようなデザインでビーチ以外でのシーンでも活躍しそう！<br>ボトムスもハイウエストでオシャレしながら体型カバーもできちゃう！<br><br><br>【納期について】<br>2 週間～4週間程度<br><br>・ご注文をいただいてから海外メーカーから取り寄せるため、お届けまで少々お時間がかかります。<br>・ご注文いただいた後にメーカーに注文をするため、まれにメーカーの在庫が切れている場合がございます。<br>　その際は別の商品を特別価格にてご提案させていただきますのでご了承ください。<br>　商品が見つからない場合はキャンセルも承ります。<br>・中国の長期休暇に当たる場合がございます。【春節（2月初旬から中旬、約1週間）、国慶節（10月初旬、約1週間)】<br>　その際は通常よりも納期がかかる場合がございますので長期休暇前のご注文はお気を付けください。<br><br><br><br>【サイズ】<br>●Mサイズ（7号）（バスト約72cm～80cm/ヒップ約82～90cm）<br>●Lサイズ（9号）（バスト約79～87cm/ヒップ約87～95cm）<br>●ＸＬサイズ（11号）（バスト約86cm～94cm/ヒップ約92cm～100cm）<br><br>※サイズは平均サイズですので体型などにより、上記表記サイズより異なりますがご了承下さい。<br>※生地の撮影によって画像と異なる場合がございます<br><br>商品、返品について<br>●サイズ交換やお色交換などの返品は行っておりませんので、サイズは十分にご確認の上、お間違いのないようにご購入ください<br><br>●海外商品のため、日本製のものよりも縫製が荒い場合がございます<br>海外基準では返品対象となりませんのでご理解ください<br><br>●商品のお色はお手持ちのパソコンやスマホ、照明の関係で実物と多少の違いが生じることがございます。色味が違うということでの返品は行っておりませんのでご了承ください<br><br>","","","","表示しない","","","","","","","","","","新品","女","","","","","","","掲載する","軽減税率設定しない"
